entity_id,row_count,train_end,valid_end,train_sample_windows,valid_sample_windows,normalization_source,selection_rule,app_du
0,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_1063
92,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6034
93,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6140
94,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6217
95,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_647
96,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6491
97,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6593
98,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6597
99,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_66
100,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6651
101,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6658
102,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6763
103,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6791
104,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_6911
105,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7048
106,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7073
107,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7227
108,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7264
109,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_732
110,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7414
111,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7419
112,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7475
113,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7505
114,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7766
115,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7791
116,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7876
117,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7890
118,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_7908
119,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8205
120,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8274
121,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8360
122,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8492
123,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8532
124,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8661
125,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8719
126,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8727
127,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8775
128,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8832
129,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_888
130,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_8981
131,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9030
132,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9081
133,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9352
134,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9529
135,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9541
136,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9678
137,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9733
138,11520,8063,9792,512,128,train prefix only,all 139 broad services; train/validation prefix sampling only; test split untouched,app_9741
